occupation,translated_occupation,label
Sicherheitsberater für die Beförderung gefährlicher Güter im Straßenverkehr,Safety advisor for the transportation of dangerous goods by road,Business & Economics
Seemann,Sailor,Governance & Society
Segler,Sailor,Governance & Society
Vertriebsingenieur,Sales engineer,STEM
Handelsvertreter,Sales representative,Business & Economics
Salonnière,Salonnière,Academics & Humanities
Sanskritologe,Sanskritologist,Academics & Humanities
Satiriker,Satirist,Arts & Culture
Saxophonist,Saxophonist,Arts & Culture
Skandinavist,Scandinavian,Academics & Humanities
Skandinavistik,Scandinavian Studies,Academics & Humanities
Szenograf,Scenographer,Arts & Culture
Gelehrter,Scholar,Academics & Humanities
Scholar,Scholar,Academics & Humanities
Scholaster,Scholaster,Academics & Humanities
Schulrat,School council,Academics & Humanities
Schulberater,School counselor,Academics & Humanities
Schulinspektor,School inspector,Academics & Humanities
Schullehrer,School teacher,Academics & Humanities
Schulkind,Schoolchild,Academics & Humanities
Schulmeister,Schoolmaster,Academics & Humanities
Schultheiß,Schultheiss,Governance & Society
Wissenschaftskommunikator,Science communicator,Academics & Humanities
Wissenschaftsredakteur,Science editor,Academics & Humanities
Science-Fiction-Schriftsteller,Science fiction writer,Arts & Culture
Wissenschaftsjournalist,Science journalist,Academics & Humanities
Science-Slam,Science slam,Academics & Humanities
Wissenschaftsautor,Science writer,Academics & Humanities
Wissenschaftsberater,Scientific advisor,Academics & Humanities
wissenschaftlicher Assistent,scientific assistant,Academics & Humanities
wissenschaftlicher Sammler,scientific collector,Arts & Culture
wissenschaftlicher Redakteur,scientific editor,Academics & Humanities
wissenschaftlicher Illustrator,scientific illustrator,Arts & Culture
Wissenschaftler,Scientists,STEM
Späher,Scout,Governance & Society
Scout,Scout,Governance & Society
Pfadfinder,Scouts,Governance & Society
Siebdrucker,Screen printer,STEM
Drehbuchautor,Screenwriter,Arts & Culture
Script Editor,Script Editor,STEM
Script/Continuity,Script/Continuity,STEM
Scrum Master,Scrum Master,Business & Economics
Bildhauer,Sculptor,Arts & Culture
Seenotrettung,Sea rescue,Governance & Society
Seefahrer,Seafarer,Governance & Society
Seemannsdiakon,Seaman deacon,Governance & Society
Sekundant,Secondary,Governance & Society
Mittelschullehrer,Secondary school teacher,Academics & Humanities
Geheime Staatspolizei,Secret State Police,Governance & Society
Sekretär,Secretary,Governance & Society
Schriftführer,Secretary,Governance & Society
Generalsekretär,Secretary General,Governance & Society
Wachmann,Security guard,Governance & Society
Seher,Seer,Religion & Philosophy
Seismologe,Seismologist,STEM
Selenograph,Selenograph,STEM
Selbstdarstellung,Self-presentation,Governance & Society
Selbstpublikation,Self-publication,Arts & Culture
Selbstverleger,Self-publishers,Arts & Culture
Autodidakt,Self-taught,Academics & Humanities
Semiotiker,Semioticians,Academics & Humanities
Semitist,Semitist,Academics & Humanities
Senior,Senior,Unconventional & Misc
leitender Beamter,senior civil servant,Governance & Society
Leitender Angestellter,Senior employee,Business & Economics
Oberregierungsrat,Senior Government Councillor,Governance & Society
Bergoberrat,Senior mining councillor,Governance & Society
Oberpfarrer,Senior pastor,Religion & Philosophy
Oberarzt,Senior physician,Health & Medicine
Leitender Oberstaatsanwalt,Senior Public Prosecutor,Law
Oberstudienrat,Senior teacher,Academics & Humanities
SEO-Experte,SEO expert,STEM
Serienmörder,Serial killer,Unconventional & Misc
Serologe,Serologist,STEM
Dienstmann,Servant,Governance & Society
Knecht,Servant,Governance & Society
Setdekorateur,Set decorator,Arts & Culture
Siedler,Settlers,Governance & Society
Sexualpädagoge,Sex educator,Academics & Humanities
Sexshopinhaber,Sex shop owner,Business & Economics
Sexualtherapeut,Sex therapist,Health & Medicine
Sexualwissenschaftler,Sexologist,Health & Medicine
Küster,Sexton,Religion & Philosophy
Gesellschafter,Shareholder,Business & Economics
Schiffszimmerer,Ship carpenter,Business & Economics
Schiffsausrüster,Ship chandler,Business & Economics
Schiffsheizer,Ship heater,Business & Economics
Schiffsbauer,Shipbuilder,STEM
Reeder,Shipowner,Business & Economics
Schifffahrtskaufmann,Shipping merchant,Business & Economics
Schuhmacher,Shoemaker,Arts & Culture
Ladeninhaber,Shopkeeper,Business & Economics
Kurzgeschichtenautor,Short story author,Arts & Culture
Shorttracker,Shorttracker,Sports
Kugelstoßer,Shot putter,Sports
Springreiter,Show jumper,Sports
Schausteller,Showmen,Business & Economics
Showrunner,Showrunner,Arts & Culture
Gebärdensprachdolmetscher,Sign language interpreters,Governance & Society
Schildermaler,Sign painter,Arts & Culture
Stummfilmpianist,Silent film pianist,Arts & Culture
Stummfilmschauspieler,Silent movie actor,Arts & Culture
Scherenschnitt-Künstler,Silhouette artist,Arts & Culture
Silhouetteur,Silhouetteur,Arts & Culture
Silberschmied,Silversmith,Arts & Culture
Simultandolmetschen,Simultaneous interpreting,Governance & Society
Sänger,Singers,Arts & Culture
Singer-Songwriter,Singer-songwriter,Arts & Culture
Gesangslehrer,Singing teacher,Academics & Humanities
Einhandsegeln,Single-handed sailing,Sports
Sinologe,Sinologist,Academics & Humanities
Bauleiter,Site manager,Business & Economics
Schlittschuhmacher,Skate maker,STEM
Skateboardfahrer,Skateboarder,Sports
Eislauftrainer,Skating coach,Sports
Skeletontrainer,Skeleton coach,Sports
Skeletonfahrer,Skeleton rider,Sports
Skilehrer,Ski instructor,Sports
Skispringer,Ski jumper,Sports
Skisprungtrainer,Ski jumping coach,Sports
Skibergsteiger,Ski mountaineering,Sports
Skirennläufer,Ski racer,Sports
Skitechniker,Ski technician,Sports
Skibobfahrer,Skibobber,Sports
Skisportler,Skier,STEM
Hautboist,Skin boist,Arts & Culture
Skipper,Skipper,Sports
Slackliner,Slackliner,Sports
Slam-Poet,Slam poet,Arts & Culture
Sklave,Slave,Governance & Society
Sklavenhändler,Slave trader,"Governance & Society, Business & Economics"
Slawist,Slavist,Academics & Humanities
Slowenist,Slovenian,Academics & Humanities
Rauchwaren-Großhandels-Kaufmann,Smoking goods wholesale merchant,Business & Economics
Scharfschütze,Sniper,Governance & Society
Spitzel,Snitch,Governance & Society
Snookerspieler,Snooker player,Sports
Snookerschiedsrichter,Snooker referee,Sports
Snowboarder,Snowboarder,Sports
Seifensieder,Soap boiler,Business & Economics
Fußballtrainer,Soccer coach,Sports
Fußballkommentator,Soccer commentator,Sports
Fußballmanager,Soccer manager,Sports
Fußballspieler,Soccer player,Sports
Fußballschiedsrichter,Soccer referee,Sports
Sozialaktivist,Social activist,Governance & Society
Sozialanthropologe,Social anthropologist,Academics & Humanities
Sozialassistent,Social assistant,Academics & Humanities
Sozialdemokrat,Social Democrat,Governance & Society
Sozialethiker,Social ethicist,Academics & Humanities
Sozialhistoriker,Social historian,Academics & Humanities
Sozialhygieniker,Social hygienist,Academics & Humanities
Sozialmedizin,Social medicine,Academics & Humanities
Sozialpädagoge,Social pedagogue,Academics & Humanities
Sozialphilosophie,Social philosophy,Academics & Humanities
Sozialpolitik,Social policy,Governance & Society
Sozialpolitiker,Social politician,Governance & Society
Sozialpsychologe,Social psychologist,Academics & Humanities
Sozialreformer,Social reformer,Governance & Society
Sozialwissenschaftler,Social scientist,STEM
Sozialarbeiter,Social worker,Health & Medicine
Sozialist,Socialist,Governance & Society
Soziobiologe,Sociobiologist,STEM
Soziolinguist,Sociolinguist,Academics & Humanities
Soziologe,Sociologist,Academics & Humanities
Religionssoziologe,Sociologist of religion,Academics & Humanities
Rechtssoziologie,Sociology of law,Academics & Humanities
Softballspieler,Softball player,Sports
Softwareentwickler,Software developer,STEM
Softwareingenieur,Software engineer,STEM
Bodenkundler,Soil scientist,STEM
Soldat,Soldier,Governance & Society
Solicitor,Solicitor,Business & Economics
Alleinunterhalter,Solo entertainer,Arts & Culture
Solist,Soloist,Arts & Culture
Sommelier,Sommelier,Arts & Culture
Somnologe,Somnologist,Health & Medicine
Sohn,Son,Unconventional & Misc
Liedbegleiter,Song accompanist,Arts & Culture
Liedkomponist,Song composer,Arts & Culture
Songschreiber,Songwriter,Arts & Culture
Liedermacher,Songwriter,Arts & Culture
Sopranistin,Soprano,Arts & Culture
Klangkünstler,Sound artist,Arts & Culture
Tondesigner,Sound designer,Arts & Culture
Toningenieur,Sound engineer,Arts & Culture
Tontechniker,Sound engineer,Arts & Culture
Tonmeister,Sound engineer,Arts & Culture
Südostasienwissenschaftler,Southeast Asia scientist,Academics & Humanities
Souverän,Sovereign,Governance & Society
Standesherr,Sovereign,Governance & Society
Kurarzt,Spa doctor,Health & Medicine
Raumfahrer,Spaceman,STEM
Spanischamerikanist,Spanish Americanist,Academics & Humanities
Redner,Speaker,"Arts & Culture, Governance & Society"
Sprecher,Speaker,Arts & Culture
Referent,Speaker,Academics & Humanities
Sonderschullehrer,Special education teacher,Academics & Humanities
Spezialeffekt-Künstler,Special effects artist,Arts & Culture
Sonderpädagoge,Special needs teacher,Academics & Humanities
Sonderbeauftragter,Special representative,Governance & Society
Facharzt,Specialist,Academics & Humanities
Fachberater,Specialist consultant,Business & Economics
Fachdidaktiker,Specialist didactician,Academics & Humanities
Facharzt für Herzchirurgie,Specialist for heart surgery,Health & Medicine
Fachangestellter für Bäderbetriebe,Specialist for swimming pool operations,Business & Economics
Fachkraft für Abwassertechnik,Specialist for wastewater technology,STEM
Facharzt für Anästhesiologie,Specialist in anesthesiology,Health & Medicine
Facharzt für Allgemeinmedizin,Specialist in general medicine,Health & Medicine
Facharzt für Mikrobiologie,Specialist in microbiology,Academics & Humanities
Facharzt für Neuropathologie,Specialist in neuropathology,Academics & Humanities
Facharzt für Neurochirurgie,Specialist in neurosurgery,Health & Medicine
Facharzt für Augenheilkunde,Specialist in ophthalmology,Health & Medicine
Facharzt für Psychosomatische Medizin und Psychotherapie,Specialist in psychosomatic medicine and psychotherapy,Health & Medicine
Fachwirt im Gastgewerbe,Specialist in the hospitality industry,Health & Medicine
Facharzt für Transfusionsmedizin,Specialist in transfusion medicine,Health & Medicine
Fachanwalt für Verwaltungsrecht,Specialist lawyer for administrative law,Law
Fachanwalt für Familienrecht,Specialist lawyer for family law,Law
Fachanwalt für Insolvenzrecht,Specialist lawyer for insolvency law,Law
Fachanwalt für Arbeitsrecht,Specialist lawyer for labor law,Law
Fachanwalt für Medizinrecht,Specialist lawyer for medical law,Health & Medicine
Fachanwalt für Sozialrecht,Specialist lawyer for social law,Law
Fachanwalt für Steuerrecht,Specialist lawyer for tax law,Law
Fachpflegekraft im Operationsdienst,Specialist nurse in the surgical service,Health & Medicine
Fachpädagoge,Specialist teacher,Academics & Humanities
Fachlehrer,Specialist teacher,Academics & Humanities
Fachtierarzt,Specialist veterinarian,Health & Medicine
Spekulant,Speculator,Business & Economics
Sprecherzieher,Speech coach,Sports
Logopäde,Speech therapist,Health & Medicine
Redenschreiber,Speechwriter,Arts & Culture
Eisschnellläufer,Speed skater,Sports
Eisschnelllauf-Trainer,Speed skating coach,Sports
Speedcuber,Speedcuber,Sports
Höhlenforscher,Speleologist,STEM
Geistliche Begleitung,Spiritual accompaniment,Religion & Philosophy
Geistheilung,Spiritual healing,Health & Medicine
Spiritualist,Spiritualist,Religion & Philosophy
Sportschütze,Sport shooter,Sports
Sportpilot,Sportpilot,Sports
Sportakrobat,Sports acrobat,Sports
Sportkolumnist,Sports columnist,Sports
Sportkommentator,Sports commentator,Sports
Sportlicher Leiter,Sports Director,Sports
Sportökonom,Sports economist,Business & Economics
Sporthistoriker,Sports historian,Academics & Humanities
Sportjournalist,Sports journalist,Sports
Sportmanager,Sports manager,Sports
Sportfunktionär,Sports official,Sports
Sportfotograf,Sports photographer,Sports
Sportmediziner,Sports physician,"Health & Medicine, Sports"
Sportpsychologe,Sports psychologist,Sports
Sportwissenschaftler,Sports scientist,STEM
Sportsoldat,Sports soldier,Governance & Society
Sportlehrer,Sports teacher,"Sports, Academics & Humanities"
Sportpädagoge,Sports teacher,Academics & Humanities
Sprinter,Sprinter,Sports
Spion,Spy,Governance & Society
Squashspieler,Squash player,Sports
SS-Gefolge,SS entourage,Governance & Society
SS-Mann,SS man,Governance & Society
SS-Hauptsturmführer,SS-Hauptsturmführer,Governance & Society
SS-Obersturmführer,SS-Obersturmführer,Governance & Society
SS-Sturmbannführer,SS-Sturmbannführer,Governance & Society
SS-Unterscharführer,SS-Unterscharführer,Governance & Society
SS-Untersturmführer,SS-Untersturmführer,Governance & Society
Stabsoffizier,Staff officer,Governance & Society
Bühne,Stage,Arts & Culture
Bühnenschauspieler,Stage actor,Arts & Culture
Bühnenbildner,Stage designer,Arts & Culture
Bühnenregisseur,Stage director,Arts & Culture
Inspizient,Stage manager,Arts & Culture
Bühnenmaler,Stage painter,Arts & Culture
Bühnentechniker,Stage technician,Arts & Culture
Briefmarkenfälscher,Stamp counterfeiters,Business & Economics
Stempelschneider,Stamp cutter,Arts & Culture
Briefmarkenhändler,Stamp dealer,Business & Economics
Briefmarkengestalter,Stamp designer,Arts & Culture
Briefmarkenhandlung,Stamp shop,Business & Economics
Briefmarkenprüfer,Stamp tester,Business & Economics
Stand-Up-Comedian,Stand-up comedian,Arts & Culture
Landeskonservator,State Conservator,Governance & Society
Staatssekretär,State Secretary,Governance & Society
Staatlich geprüfter Techniker,State-certified technician,STEM
Staatsmann,Statesman,Governance & Society
Station-Voice,Station voice,Arts & Culture
Schreibwarenhändler,Stationer,Governance & Society
Statistiker,Statistician,STEM
Stahlstecher,Steel engraver,Arts & Culture
Stenograph,Stenographer,Arts & Culture
Steward,Steward,Governance & Society
Steyler Missionare,Steyler Missionaries,Governance & Society
Sticker,Stickers,Governance & Society
Stilllebenmaler,Still life painter,Arts & Culture
Standfotograf,Still photographer,Arts & Culture
Börsenmakler,Stockbroker,Business & Economics
Stomatologe,Stomatologist,Health & Medicine
Steinbildhauer,Stone sculptor,Arts & Culture
Steinhauer,Stonecutter,Business & Economics
Steinmetz,Stonemason,STEM
Geschichtenerzähler,Storyteller,Arts & Culture
Ofenbauer,Stove builder,Business & Economics
Streamer,Streamer,Arts & Culture
Straßenkünstler,Street artist,Arts & Culture
Straßenmusiker,Street musicians,Arts & Culture
Kraftsportler,Strength athlete,Sports
Streicher,Strings,Arts & Culture
Stripper,Stripper,Arts & Culture
Strongman,Strongman,Sports
Tragwerksplaner,Structural engineer,STEM
Stuckator,Stuckator,Unconventional & Misc
Student,Student,Academics & Humanities
Studentenhistoriker,Student historian,Academics & Humanities
Studentenpfarrer,Student pastor,Religion & Philosophy
Studiomusiker,Studio musician,Arts & Culture
Studium,Study,Academics & Humanities
Stunt Koordinator,Stunt coordinator,Arts & Culture
Stuntman,Stuntman,Arts & Culture
U-Boot-Kommandant,Submarine commander,Governance & Society
Ubootfahrer,Submariner,Governance & Society
Aushilfslehrer,Substitute teacher,Academics & Humanities
Sudanarchäologe,Sudan archaeologist,Academics & Humanities
Sudanarchäologie,Sudan Archaeology,Academics & Humanities
Suffragette,Suffragette,Governance & Society
Suffragist,Suffragist,Governance & Society
Sommerbiathlet,Summer biathlete,Sports
Sumōringer,Sumōringer,Unconventional & Misc
Superintendent,Superintendent,Religion & Philosophy
Oberin,Superior,Unconventional & Misc
Ordensoberer,Superior of the Order,Religion & Philosophy
Aufsichtsrat,Supervisory Board,Business & Economics
Lieferant,Supplier,Business & Economics
Surfer,Surfer,Sports
Chirurg,Surgeon,Health & Medicine
Vermesser,Surveyor,STEM
Vermessungsingenieur,Surveyor,STEM
schwedischer Volksschullehrer,Swedish elementary school teacher,Academics & Humanities
Schwimmtrainer,Swimming coach,Sports
Schwimmlehrer,Swimming instructor,Sports
Synchronschwimmer,Synchronized swimmer,Sports
Syrologe,Syrologist,Academics & Humanities
Systemadministrator,System administrator,STEM
Systemtheorie,Systems theory,STEM
T4-Gutachter,T4 appraiser,STEM
Tischtennisspieler,Table tennis player,Sports
Taekwondosportler,Taekwondo athlete,Sports
Schneider,Tailor,Arts & Culture
Talentmanager,Talent manager,Arts & Culture
Talkshow-Moderator,Talk show host,Arts & Culture
Talmudgelehrter,Talmud teacher,"Academics & Humanities, Religion & Philosophy"
Dompteur,Tamer,Arts & Culture
Tangotänzer,Tango dancer,Arts & Culture
Gerber,Tanner,STEM
Tätowierer,Tattoo artist,Arts & Culture
Steuerprüfer,Tax auditor,Business & Economics
Steuerfachangestellter,Tax clerk,Business & Economics
Steuerberater,Tax consultant,Business & Economics
Finanzbeamter,Tax officer,Governance & Society
Tierpräparator,Taxidermist,Arts & Culture
Präparator,Taxidermist,Arts & Culture
Taxonom,Taxonomist,STEM
Lehrer,Teacher,Academics & Humanities
Lehrerausbilder,Teacher trainers,Academics & Humanities
Teammanager,Team manager,Business & Economics
technischer Zeichner,technical draftsman,STEM
technischer Redakteur,technical editor,Business & Economics
Technischer Modellbauer,Technical model maker,Business & Economics
Techniker,Technician,STEM
Technologe,Technologist,STEM
Technikhistoriker,Technology historian,Academics & Humanities
Teddybärmacher,Teddy bear maker,Arts & Culture
Fernmeldehandwerker,Telecommunications technician,STEM
Fernmelder,Telecommunicator,Arts & Culture
Telemarker,Telemarker,Arts & Culture
Telefonist,Telephonist,Arts & Culture
Televangelist,Televangelist,Religion & Philosophy
Fernsehschauspieler,Television actor,Arts & Culture
Fernsehautor,Television author,Arts & Culture
Fernsehschaffender,Television creator,Arts & Culture
Fernsehregisseur,Television director,Arts & Culture
Fernsehredakteur,Television editor,Arts & Culture
Fernsehjournalist,Television journalist,Arts & Culture
Fernsehpersönlichkeit,Television personality,Arts & Culture
Fernsehproduzent,Television producer,Arts & Culture
Soldat auf Zeit,Temporary soldier,Governance & Society
Tennistrainer,Tennis coach,Sports
Tennisspieler,Tennis player,Sports
Tenor,Tenor,Arts & Culture
Zehntner,Tenth,Unconventional & Misc
Terrorismus,Terrorism,Governance & Society
Terrorist,Terrorist,Governance & Society
Prüfingenieur für Bautechnik,Test engineer for structural engineering,STEM
Testpilot,Test pilot,Governance & Society
Lehrbuchautor,Textbook author,Academics & Humanities
Textilkünstler,Textile artist,Arts & Culture
Textildesigner,Textile designer,Arts & Culture
Textilgestalter im Handwerk,Textile designer in the trade,STEM
Textilfabrikant,Textile manufacturer,STEM
Textilforscher,Textile researcher,Academics & Humanities
Textiltechniker,Textile technician,STEM
Textilhandel,Textile trade,Business & Economics
Textilarbeiter,Textile worker,Business & Economics
Thaiboxer,Thai boxer,Sports
Theaterkritiker,Theater critic,Arts & Culture
Theaterleiter,Theater director,Arts & Culture
Theaterintendant,Theater director,Arts & Culture
Theaterdirektor,Theater director,Arts & Culture
Theater-Make-up,Theater make-up,Arts & Culture
Theaterproduzent,Theater producer,Arts & Culture
Theaterwissenschaftler,Theater scholar,"Arts & Culture, Academics & Humanities"
Theologe,Theologian,Religion & Philosophy
Theologielehrer,Theology teacher,Religion & Philosophy
theoretischer Biologe,Theoretical biologist,STEM
theoretischer Physiker,theoretical physicist,STEM
Theoretiker,Theorist,Academics & Humanities
Wissenschaftstheoretiker,Theorist of science,Academics & Humanities
Theosoph,Theosophist,Religion & Philosophy
Therapeut,Therapist,Health & Medicine
Dieb,Thief,Unconventional & Misc
Tibetologe,Tibetologist,Academics & Humanities
TikToker,TikToker,Arts & Culture
Fliesenleger,Tiler,Business & Economics
Paukist,Timpanist,Arts & Culture
Zinkenist,Tine is,Arts & Culture
Spengler,Tinsmith,STEM
Titularbischof,Titular bishop,Religion & Philosophy
Titularprofessor,Titular professor,Academics & Humanities
Rodeltrainer,Toboggan trainer,Sports
Werkzeugmechaniker,Tool mechanic,STEM
Werkzeugmacher,Toolmaker,STEM
Topograf,Topographer,STEM
Topologe,Topologist,STEM
Folterer,Torturer,Unconventional & Misc
Reiseleiter,Tour guide,Business & Economics
Reiseveranstalter,Tour operator,Business & Economics
Tourismusexperte,Tourism expert,Business & Economics
Fremdenführer,Tourist guide,Business & Economics
Stadtschreiber,Town clerk,Governance & Society
Stadtpfeifer,Town piper,Arts & Culture
Stadtplaner,Town planner,Governance & Society
Toxikologe,Toxicologist,STEM
Spielzeughersteller,Toy manufacturer,Business & Economics
Bahnradfahrer,Track cyclist,Sports
Gleisbauer,Track layer,Sports
Messebau,Trade fair construction,Business & Economics
Gewerkschaft,Trade union,Business & Economics
Gewerkschaftsmitglied,Trade union member,Business & Economics
Gewerkschaftsfunktionär,Trade union official,Business & Economics
Gewerkschaftssekretär,Trade union secretary,Business & Economics
Gewerkschafter,Trade unionist,"Business & Economics, Governance & Society"
Trader,Trader,Business & Economics
traditioneller Volkssänger,traditional folk singer,Arts & Culture
Verkehrsingenieur,Traffic engineer,STEM
Verkehrsplaner,Traffic planner,STEM
Verkehrswissenschaftler,Traffic scientist,STEM
Praktikant,Trainee,STEM
Referendar,Trainee lawyer,Law
Trainer,Trainer,Sports
Trainer in der Erwachsenenbildung,Trainer in adult education,Academics & Humanities
Trampolinturner,Trampolinist,Sports
Transaktivist,Transactivist,Governance & Society
Übergangsdiakon,Transitional deacon,Religion & Philosophy
Translatologe,Translatologist,Academics & Humanities
Übersetzer,Translator,Academics & Humanities
Unfallchirurg,Trauma surgeon,Health & Medicine
Reiseschriftsteller,Travel writer,Arts & Culture
Reisender,Traveler,Unconventional & Misc
Schatzmeister,Treasurer,Governance & Society
Kämmerer,Treasurer,Business & Economics
Triathlet,Triathlete,Sports
Dreispringer,Triple jumper,Sports
Posaunist,Trombonist,Arts & Culture
Tropenmediziner,Tropical medicine specialist,Health & Medicine
Trabrennfahrer,Trotting driver,Sports
Fernfahrer,Truck driver,Business & Economics
Trompeter,Trumpeter,Arts & Culture
Treuhänder für das Sicherungsvermögen /Bedingungsanpassungen /Prämienänderungen,Trustee for the security assets /condition adjustments /premium changes,Business & Economics
Tubist,Tubist,Arts & Culture
Turkologe,Turkologist,Academics & Humanities
Turner,Turner,STEM
Dreher,Turner,Sports
Hauslehrer,Tutor,Academics & Humanities
Nachhilfe,Tutoring,Academics & Humanities
Fernsehkoch,TV chef,Arts & Culture
Fernsehmoderator,TV presenter,Arts & Culture
Twitch-Streamer,Twitch streamer,Arts & Culture
Tycoon,Tycoon,Business & Economics
Schriftgießer,Type founder,STEM
Schriftsetzer,Typesetter,Governance & Society
Stenotypist,Typist,Arts & Culture
Typograf,Typographer,Arts & Culture
Ufologe,Ufologe,Religion & Philosophy
Ultramarathonläufer,Ultramarathon runner,Sports
UN-Goodwill-Botschafter,UN Goodwill Ambassador,Governance & Society
Arbeitsloser,Unemployed,Unconventional & Misc
unitarischer Pfarrer,Unitarian minister,Governance & Society
Hochschulverwalter,University administrator,Academics & Humanities
Hochschullehrer,University lecturer,Academics & Humanities
Universitätsdozent,University lecturer,Academics & Humanities
Hochschulmanagement,University management,Academics & Humanities
Hochschulmanager,University manager,Academics & Humanities
Hochschulpräsident,University President,Academics & Humanities
Hochschulrektor,University Rector,Academics & Humanities
Inoffizieller Mitarbeiter,Unofficial employee,Unconventional & Misc
Tapezierer,Upholsterer,Arts & Culture
Stadtplanungshistoriker,Urban planning historian,Academics & Humanities
Stadtforscher,Urban researcher,Academics & Humanities
Urbanistik,Urbanism,Academics & Humanities
Urologe,Urologist,Health & Medicine
Impfgegner,Vaccination opponents,Governance & Society
Kammerdiener,valet,Governance & Society
Voltigierer,Vaulters,Sports
Fahrzeugdesigner,Vehicle designer,STEM
Verkäufer,Vendor,Business & Economics
Venerologe,Venereologist,Health & Medicine
Bauchredner,Ventriloquist,Arts & Culture
Verweser,Verweser,Governance & Society
Veteran,Veteran,Governance & Society
Tierarzt,Veterinarian,Health & Medicine
tiermedizinischer Fachangestellter,veterinary assistant,Health & Medicine
Veterinärpathologe,Veterinary pathologist,Health & Medicine
Vexillologe,Vexillologist,Academics & Humanities
Vibraphonist,Vibraphonist,Arts & Culture
Vikar,Vicar,Religion & Philosophy
Generalvikar,Vicar General,Religion & Philosophy
Vizeadmiral,Vice Admiral,Governance & Society
Vizepräsident,Vice President,Governance & Society
Prorektor,Vice Rector,Academics & Humanities
Verbrechensopfer,Victims of crime,Unconventional & Misc
Videokünstler,Video artist,Arts & Culture
Video-Blogger,Video blogger,Arts & Culture
Videospielgrafiker,Video game graphic designer,Arts & Culture
Videoinstallationskünstler,Video installation artist,Arts & Culture
Videojockey,Video jockey,Arts & Culture
Videofilmer,Videographer,Arts & Culture
Geigenbauer,Violin maker,Arts & Culture
Violinlehrer,Violin teacher,Academics & Humanities
Geiger,Violinist,Arts & Culture
Bratschist,Violist,Arts & Culture
Jungfrau (Kirchentitel),Virgin (church title),Religion & Philosophy
Virologe,Virologist,Health & Medicine
Virologie und Infektionsepidemiologie,Virology and infection epidemiology,Health & Medicine
Virtuose,Virtuoso,Arts & Culture
Visionär,Visionary,Governance & Society
Visitator,Visitator,Religion & Philosophy
Gastprofessor,Visiting professor,Academics & Humanities
bildender Künstler,visual artist,Arts & Culture
Visual Effects Supervisor,Visual Effects Supervisor,Arts & Culture
visueller Poet,visual poet,Arts & Culture
Vitztum,Vitztum,Governance & Society
V-Mann,V-man,Governance & Society
Vokalist,Vocalist,Arts & Culture
Berufsschullehrer,Vocational school teacher,Academics & Humanities
Stimmtrainer,Voice coach,Arts & Culture
Volapükologist,Volapükologist,Health & Medicine
Vulkanologe,Volcanologist,STEM
Volleyballtrainer,Volleyball coach,Sports
Volleyballspieler,Volleyball player,Sports
Freiwilligendienst,Voluntary service,Governance & Society
Freiwilliges Soziales Jahr,Voluntary social year,Governance & Society
ehrenamtlicher Mitarbeiter,volunteer,Governance & Society
Ehrenamt,Volunteering,Governance & Society
Waffen-SS,Waffen SS,Governance & Society
Kellner,Waiter,Business & Economics
Geher,Walker,Sports
Wandmaler,Wall painter,Arts & Culture
Kriegsverbrecher,War criminal,Governance & Society
Kriegsmaler,War painter,Arts & Culture
Kriegsfotograf,War photographer,Arts & Culture
Kriegsreporter,War reporter,"Arts & Culture, Governance & Society"
Stationsleiter,Ward manager,Health & Medicine
Wardein,Wardein,Governance & Society
Fachkraft für Lagerlogistik,Warehouse logistics specialist,Business & Economics
Lagerarbeiter,Warehouse worker,Business & Economics
Haudegen,Warhorse,Governance & Society
Kriegermönch,Warrior monk,Religion & Philosophy
Wäscherin,Washerwoman,Business & Economics
Abwasseringenieur,Wastewater engineer,STEM
Uhrmacher,Watchmaker,STEM
Uhrmacher (größere Uhren),Watchmakers (larger watches),Arts & Culture
Wasserspringer,Water jumper,Sports
Wasserballtrainer,Water polo coach,Sports
Wasserballspieler,Water polo player,Sports
Aquarellist,Watercolorist,Arts & Culture
Vermögensmillionär,Wealth millionaire,Business & Economics
Waffenhistoriker,Weapons historian,Academics & Humanities
Waffenschmied,Weaponsmith,STEM
Wettermoderator,Weather presenter,Arts & Culture
Weber,Weaver,Arts & Culture
Webentwickler,Web developer,Arts & Culture
Webvideoproduzent,Web video producer,Arts & Culture
Hochzeitsplaner,Wedding planner,Business & Economics
Gewichtheber,Weightlifter,Sports
Schweißer,Welder,STEM
Wohlfahrtspflege,Welfare,Governance & Society
Brunnenbauer,Well builder,STEM
Rollstuhlbasketballspieler,Wheelchair basketball player,Sports
Rollstuhlcurler,Wheelchair curler,Sports
Rollstuhltennisspieler,Wheelchair tennis player,Sports
Whistleblower,Whistleblower,Governance & Society
Schönfärber,Whitewashers,Business & Economics
Wiesnwirt,Wiesnwirt,Business & Economics
Wikidata Editor,Wikidata Editor,Academics & Humanities
Wikimedianer,Wikimedian,Academics & Humanities
Wikipedianer,Wikipedian,Academics & Humanities
Wildtierfotograf,Wildlife photographer,Arts & Culture
Bläser,Wind instruments,Arts & Culture
Windsurfer,Windsurfer,Sports
Weinkritiker,Wine critic,Arts & Culture
Weinhändler,Wine merchant,Business & Economics
Weinhersteller,Wine producer,Business & Economics
Weinhandel,Wine trade,Business & Economics
Winzer,Winemaker,Arts & Culture
Wintersportler,Winter sportsman,Sports
Hexe,Witch,Unconventional & Misc
Frauenrechtler,Women's rights activist,Governance & Society
